,name,vendor,category,shippingCountry,dollars,positiveRating,negativeRating,rating,main_category,legal,legality_reason
41,100ML - GHB - US to US ONLY FREE SHIPPING,vintage,GHB,United States,180,620,20,97,Drug,illegal,hard drug
42,10 GR Amphetamine-Speed 70%,JimmJoness,Speed,Netherlands,14,1849,55,97,Drug,illegal,hard drug
43,PROMOTION ★ ★ ★ AK-47 ★ ★ ★5 G,MisterGreen,Weed,France,59,1390,20,99,Drug,illegal,weed up to 5 gram is allowed for personal use in the netherlands but not for selling
44,10x Trippy elephant 250ug LSD Worldwide shipping,xking,LSD,Not Specified,35,1610,5,100,Drug,illegal,hard drug
45,#10GR || MDMA DUTCH 84% || USA AUS EU WW,WeAreAMSTERDAM,MDMA,Netherlands,99,28944,209,99,Drug,illegal,hard drug
46,#1GR #SALE || COLOMBIAN COKE 91% || USA AUS EU WW,WeAreAMSTERDAM,Cocaine,Netherlands,76,28944,209,99,Drug,illegal,hard drug
47,"→ 0,5 Gr High Quality Colombian Cocaine  [91%]",Lidl,Cocaine,Netherlands,33,6510,51,99,Drug,illegal,hard drug
48,"Buy Pharmacy made oxycodone 2mg, 30mg A215 Pressed Pill High Quality -",drugzsupplier,Oxycodon,Australia,60,200,0,100,Drug,illegal,hard drug
49,12x LSD DA VINCI CODE 230UG,Amazon10,LSD,Netherlands,50,1188,5,100,Drug,illegal,hard drug
50,5 GRAMS SPEED PASTA MADE IN NETHERLANDS ( BEST END LOWEST PRICE ),NoMercyNL,Speed,Not Specified,20,1332,10,99,Drug,illegal,hard drug
51,28 Grams Amazonian Cubensis (Very High Quality),Cafenero,Mushrooms,United States,220,3132,11,100,Mushrooms,illegal,"the drugs is a kind of paddo's, these are illegal drugs"
52,10x-200x LSD ANONYMOUS 250UG UK-UK,Cafenero,Weed,United Kingdom,60,3132,11,100,Drug,illegal,psychidelic drugs
53,1 GRAM SUPER DUTCH MOLLY CHAMPANGE MDMA  86 % +,NoMercyNL,MDMA,Netherlands,11,1332,10,99,Drug,illegal,hard drug
54,S903 Hulk Or X2Pfitzer Xanax x100 Worldwide $130,Mirando,Xanax,United Kingdom,130,952,0,100,Drug,illegal,hard drug
55,10 XTC Pills | Kenzo Tigers 220mg MDMA | ✈ WORLD-WIDE SHIPPING,thebosseu,Ecstasy,Netherlands,40,2952,10,100,Drug,illegal,hard drug
56,SUBUTEX 8MG - 1 PILLS ***IN STOCK***,marcopolo1969,Heroin,Not Specified,12,2573,0,100,Drug,illegal,hard drug
57,High quality Fish scale Colombian Cocaine 98% Pure  30 Grams $1350,drugzsupplier,Cocaine,Australia,1350,200,0,100,Drug,illegal,hard drug
58,TOP Quality Crystal Meth 1G 40$,mico2811,Meth,Not Specified,40,795,5,99,Drug,illegal,hard drug
59,25Gr Speed Paste-Amphetamine Paste,Flako,Speed,Germany,22,7070,61,99,Drug,illegal,hard drug
60,paypal cashout video,glasshouse,PayPal,United States,10,19120,158,99,PayPal,illegal,unsolicited sharing and selling of bank details
61,"★★ Usa cvv 100% live High Quality ★★Random, known balance or Fullz with SSN and DOB",prohack,CC/CVV,Not Specified,20,1058,0,100,CC/CVV,illegal,unsolicited sharing and selling of credit card details
62,25x Adderall 30mg IR US 2 US FULL ESCROW,MyINI,Others,United States,150,22809,96,100,Others,depends,adderall is legal on prescription but not for selling it like drugs
63,2x VERIFIED Paypal Account + attached CC or BA,procarder7,PayPal,Not Specified,15,13217,122,99,PayPal,illegal,unsolicited sharing and selling of bank details
64,FRESH PAYPAL ACCOUNT 1 + 1 FREE ★★ CC/BANK ATTACHED!!,Loyal4royal,PayPal,United States,10,1115,16,99,PayPal,illegal,unsolicited sharing and selling of bank details
65,10 PCS 2C-B YELLOW BATMAN 30MG,theolddoctor,2C,Germany,20,1362,15,99,Drug,illegal,hard drug
66,★★★ Hash Amnesia Cream 10G ★★★,MisterGreen,Hash,France,150,1390,20,99,Drug,illegal,in small amounts it's legal to carry but selling it is illegal
67,#5GR || MDMA DUTCH 84% || USA AUS EU WW,WeAreAMSTERDAM,MDMA,Netherlands,64,28944,209,99,Drug,illegal,hard drug
68,stony patch 500 mg gummies,glasshouse,Edibles,United States,10,19120,158,99,Edibles,legal,gummies can referr to vitamins
69,25Gr Top Quality MDMA Crystals,Flako,MDMA,Germany,145,7070,61,99,Drug,illegal,hard drug
70,10 ecstacy tranformers/assorted 220mg,levelup,Ecstasy,United States,75,1516,0,100,Drug,illegal,hard drug
71,1Gr Top Quality Crystal-Meth,Flako,Meth,Germany,32,7070,61,99,Drug,illegal,hard drug
72,2.5 Gram Peruvian Cocaine 92% Pure,JimmJoness,Cocaine,Netherlands,125,1849,55,97,Drug,illegal,hard drug
73,1 gram | Purest S-KETAMINE on DARKNET ✈ WORLDWIDE SHIPPING,thebosseu,Ketamine,Netherlands,25,2952,10,100,Drug,illegal,hard drug
74,Indian Ketamine S+ Isomer (Sugar) 92% Pure High Quality 1g,bluemagic,Ketamine,United Kingdom,20,18313,42,100,Drug,illegal,hard drug
75,#10X #SALE || LSD SHIVA GODNESS 220ug || USA AUS EU WW,WeAreAMSTERDAM,LSD,Netherlands,63,28944,209,99,Drug,illegal,hard drug
76,★★★NEW STOCk || XTC BLUE PUNISHER 300MG || EU-EU | FAST DELIVERY ★★★,MisterGreen,Ecstasy,France,10,1390,20,99,Drug,illegal,hard drug
