"No.","Time","Source","Destination","Protocol","Length","Info"
"87","7.097403276","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=53205 Win=61320 Len=0"
"88","7.097315018","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data"
"89","7.097315201","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"90","7.097315355","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data"
"91","7.097315532","142.250.179.132","10.0.2.15","TLSv1.3","1514","Application Data, Application Data"
"92","7.097702385","142.250.179.132","10.0.2.15","TCP","1094","443  >  51738 [PSH, ACK] Seq=59665 Ack=1539 Win=65535 Len=1040 [TCP segment of a reassembled PDU]"
"93","7.098031141","142.250.179.132","10.0.2.15","TLSv1.3","6304","Application Data, Application Data, Application Data, Application Data, Application Data"
"94","7.098386048","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"95","7.098791835","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data [TCP segment of a reassembled PDU]"
"96","7.099984480","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"97","7.100474169","142.250.179.132","10.0.2.15","TLSv1.3","5474","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"98","7.104436556","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=78625 Win=62780 Len=0"
"99","7.110148361","142.250.179.132","10.0.2.15","TLSv1.3","241","Application Data"
"100","7.110938742","142.250.179.132","10.0.2.15","TLSv1.3","124","Application Data, Application Data"
"101","7.112298777","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1539 Ack=78882 Win=65535 Len=0"
"102","7.112422262","10.0.2.15","142.250.179.132","TLSv1.3","93","Application Data"
"103","7.113100796","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=78882 Ack=1578 Win=65535 Len=0"
"104","7.301133101","10.0.2.15","130.89.0.128","DNS","73","Standard query 0xc970 A id.google.com"
"105","7.307582497","130.89.0.128","10.0.2.15","DNS","89","Standard query response 0xc970 A id.google.com A 142.251.34.227"
"106","7.308105118","10.0.2.15","142.251.34.227","TCP","74","49640  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2360365965 TSecr=0 WS=128"
"107","7.463176936","142.251.34.227","10.0.2.15","TCP","60","443  >  49640 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"108","7.463273484","10.0.2.15","142.251.34.227","TCP","54","49640  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"109","7.483637126","10.0.2.15","142.251.34.227","TLSv1.3","571","Client Hello"
"110","7.484420028","142.251.34.227","10.0.2.15","TCP","60","443  >  49640 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"111","7.484585420","10.0.2.15","142.250.179.132","TLSv1.3","269","Application Data"
"112","7.485121558","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=78882 Ack=1793 Win=65535 Len=0"
"113","7.485506526","10.0.2.15","142.250.179.132","TLSv1.3","85","Application Data"
"114","7.486015943","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=78882 Ack=1824 Win=65535 Len=0"
"115","7.512500191","142.250.179.132","10.0.2.15","TLSv1.3","189","Application Data, Application Data, Application Data"
"116","7.512887314","10.0.2.15","142.250.179.132","TLSv1.3","93","Application Data"
"117","7.513390096","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=79017 Ack=1863 Win=65535 Len=0"
"118","7.567454339","10.0.2.15","142.250.179.132","TLSv1.3","309","Application Data"
"119","7.567945878","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=79017 Ack=2118 Win=65535 Len=0"
"120","7.577508434","142.250.179.132","10.0.2.15","TLSv1.3","2954","Application Data, Application Data, Application Data"
"121","7.577535375","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=81917 Win=65535 Len=0"
"122","7.585021829","142.250.179.132","10.0.2.15","TLSv1.3","12554","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"123","7.585085352","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=94417 Win=65535 Len=0"
"124","7.585220720","142.250.179.132","10.0.2.15","TLSv1.3","7354","Application Data, Application Data, Application Data, Application Data, Application Data"
"125","7.585251341","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=101717 Win=65535 Len=0"
"126","7.585418313","142.250.179.132","10.0.2.15","TLSv1.3","4004","Application Data, Application Data, Application Data, Application Data"
"127","7.585432098","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=105667 Win=65535 Len=0"
"128","7.585772883","142.250.179.132","10.0.2.15","TLSv1.3","1304","Application Data"
"129","7.590075670","142.250.179.132","10.0.2.15","TLSv1.3","2554","Application Data, Application Data"
"130","7.590105157","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=2118 Ack=109417 Win=65535 Len=0"
