Date,Open,High,Low,Close
08/12/2021,"8.6313","8.6408","8.5075","8.5579"
08/11/2021,"8.6099","8.6824","8.4880","8.6314"
08/10/2021,"8.6483","8.6724","8.5766","8.6075"
08/09/2021,"8.6276","8.6701","8.6112","8.6542"
08/06/2021,"8.5307","8.6430","8.5160","8.6311"
08/05/2021,"8.4788","8.5723","8.4690","8.5290"
08/04/2021,"8.4086","8.4926","8.3823","8.4785"
08/03/2021,"8.3541","8.4449","8.2987","8.4087"
08/02/2021,"8.4593","8.4818","8.3387","8.3539"
07/30/2021,"8.4582","8.4863","8.3910","8.4540"
07/29/2021,"8.5556","8.5621","8.4426","8.4584"
07/28/2021,"8.5652","8.5779","8.5428","8.5545"
07/27/2021,"8.5577","8.5824","8.5478","8.5655"
07/26/2021,"8.5546","8.6258","8.5449","8.5589"
07/23/2021,"8.5643","8.5690","8.5348","8.5474"
07/22/2021,"8.5642","8.5804","8.5215","8.5662"
07/21/2021,"8.5708","8.6063","8.5278","8.5634"
07/20/2021,"8.5891","8.6094","8.5133","8.5683"
07/19/2021,"8.5243","8.6116","8.5088","8.5897"
07/16/2021,"8.5697","8.5844","8.4853","8.5233"
07/15/2021,"8.5916","8.5931","8.5446","8.5699"
07/14/2021,"8.6252","8.6475","8.5738","8.5917"
07/13/2021,"8.6410","8.6555","8.5840","8.6258"
07/12/2021,"8.6593","8.6744","8.6218","8.6409"
07/09/2021,"8.6916","8.7069","8.6490","8.6600"
07/08/2021,"8.6894","8.7324","8.6743","8.6966"
07/07/2021,"8.6917","8.7114","8.6591","8.6912"
07/06/2021,"8.6723","8.7049","8.6348","8.6919"
07/05/2021,"8.6995","8.7142","8.6515","8.6724"
07/02/2021,"8.6629","8.7218","8.6525","8.6895"
07/01/2021,"8.7087","8.7228","8.6458","8.6634"
06/30/2021,"8.7395","8.7448","8.6425","8.7086"
06/29/2021,"8.6906","8.7495","8.6780","8.7383"
06/28/2021,"8.7657","8.7709","8.6819","8.6902"
06/25/2021,"8.7101","8.8022","8.6635","8.7659"
06/24/2021,"8.6430","8.7180","8.6350","8.7082"
06/23/2021,"8.6611","8.6768","8.5950","8.6415"
06/22/2021,"8.7712","8.7965","8.6385","8.6529"
06/21/2021,"8.7571","8.7968","8.7180","8.7695"
06/18/2021,"8.7204","8.7536","8.6423","8.7418"
06/17/2021,"8.6072","8.7301","8.5980","8.7194"
06/16/2021,"8.5573","8.6315","8.4940","8.6071"
06/15/2021,"8.4691","8.5912","8.4508","8.5571"
06/14/2021,"8.3889","8.4806","8.3037","8.4688"
06/11/2021,"8.4274","8.4468","8.2800","8.3868"
06/10/2021,"8.5873","8.5994","8.4178","8.4269"
06/09/2021,"8.6051","8.6221","8.5655","8.5881"
06/08/2021,"8.6128","8.6346","8.5715","8.6050"
06/07/2021,"8.6658","8.6998","8.5955","8.6129"
06/04/2021,"8.7026","8.7532","8.6325","8.6678"
06/03/2021,"8.5927","8.7203","8.5894","8.7025"
06/02/2021,"8.5368","8.6872","8.5341","8.5926"
06/01/2021,"8.4906","8.5424","8.4701","8.5369"
05/31/2021,"8.5522","8.6120","8.4635","8.4889"
05/28/2021,"8.5026","8.6165","8.4862","8.5587"
05/27/2021,"8.4560","8.5448","8.4238","8.5017"
05/26/2021,"8.4562","8.4770","8.4118","8.4563"
05/25/2021,"8.3873","8.4867","8.3750","8.4592"
05/24/2021,"8.4152","8.4360","8.3693","8.3881"
05/21/2021,"8.3805","8.4193","8.3335","8.4193"
05/20/2021,"8.4135","8.4186","8.3484","8.3797"
05/19/2021,"8.3554","8.4354","8.3554","8.4137"
05/18/2021,"8.3125","8.3740","8.3073","8.3557"
05/17/2021,"8.4564","8.4693","8.3065","8.3133"
05/14/2021,"8.5031","8.5083","8.3860","8.4600"
05/13/2021,"8.4326","8.5146","8.4299","8.5026"
