Date,Open,High,Low,Close,Volume
01/08/2014,"62.81","62.82","62.43","62.69","5,541,201"
01/07/2014,"63.03","63.29","62.60","62.91","5,403,263"
01/06/2014,"63.68","63.69","62.67","63.06","4,609,885"
01/03/2014,"63.62","63.89","63.40","63.49","4,589,380"
01/02/2014,"63.53","64.17","63.14","63.18","7,426,855"
12/31/2013,"62.57","63.80","62.50","63.27","6,785,640"
12/30/2013,"62.45","62.50","61.91","62.47","3,683,471"
12/27/2013,"62.79","62.79","61.99","62.15","3,261,048"
12/26/2013,"61.74","62.59","61.74","62.48","3,972,228"
12/24/2013,"61.60","61.75","61.26","61.71","3,356,284"
12/23/2013,"62.00","62.15","61.53","61.88","5,726,545"
12/20/2013,"62.12","62.66","62.02","62.49","6,869,129"
12/19/2013,"62.22","62.89","61.98","62.15","7,903,937"
12/18/2013,"62.52","63.59","62.43","63.55","8,305,331"
12/17/2013,"62.12","62.15","61.44","61.65","5,315,422"
12/16/2013,"62.44","62.51","61.73","62.17","4,776,792"
12/13/2013,"63.23","63.24","62.29","62.36","4,751,040"
12/12/2013,"62.94","63.24","62.75","62.89","4,029,226"
12/11/2013,"63.32","63.48","62.85","62.93","3,035,190"
12/10/2013,"63.26","63.46","62.96","63.16","4,028,952"
12/09/2013,"63.34","63.81","63.17","63.24","5,853,779"
12/06/2013,"62.98","63.57","62.91","63.38","6,381,595"
12/05/2013,"63.05","63.75","62.60","62.63","8,368,579"
12/04/2013,"62.45","63.58","62.20","63.31","9,442,684"
12/03/2013,"62.34","63.18","62.33","62.82","10,396,330"
12/02/2013,"63.98","63.99","62.60","62.73","7,170,183"
11/29/2013,"64.96","64.99","63.72","63.93","3,349,973"
11/27/2013,"63.99","64.79","63.87","64.41","4,767,175"
11/26/2013,"63.83","64.42","63.80","63.87","5,885,537"
11/25/2013,"63.70","63.95","63.59","63.76","5,013,738"
11/22/2013,"63.61","64.09","63.32","63.70","8,145,488"
11/21/2013,"64.34","64.92","63.49","64.19","16,382,650"
11/20/2013,"66.84","67.25","66.22","66.49","4,762,768"
11/19/2013,"66.42","66.93","66.33","66.63","3,357,832"
11/18/2013,"66.71","66.79","66.21","66.45","3,488,985"
11/15/2013,"66.69","67.06","66.42","66.89","3,542,832"
11/14/2013,"66.50","66.79","66.23","66.67","4,634,056"
11/13/2013,"65.42","66.95","65.38","66.87","5,694,593"
11/12/2013,"65.67","66.09","65.32","65.44","3,187,195"
11/11/2013,"65.11","65.85","65.10","65.69","2,610,314"
11/08/2013,"64.75","65.13","64.53","65.11","3,716,984"
11/07/2013,"65.89","65.99","64.81","64.82","5,154,318"
11/06/2013,"65.05","66.08","64.78","65.70","4,490,340"
11/05/2013,"65.10","65.25","64.60","64.63","5,107,277"
11/04/2013,"64.97","65.36","64.82","65.22","4,358,760"
11/01/2013,"64.89","64.93","64.24","64.62","3,768,764"
10/31/2013,"66.06","66.11","64.65","64.79","7,490,277"
10/30/2013,"64.34","65.95","63.50","65.71","8,585,406"
10/29/2013,"64.81","64.90","64.20","64.32","6,048,143"
10/28/2013,"63.87","65.06","63.56","64.88","5,674,507"
10/25/2013,"64.16","64.18","63.61","64.07","4,308,853"
10/24/2013,"64.42","64.55","64.00","64.13","4,637,985"
10/23/2013,"65.00","65.18","64.24","64.27","4,687,403"
10/22/2013,"64.79","65.46","64.46","65.12","3,842,514"
10/21/2013,"64.72","64.93","64.17","64.70","2,803,449"
10/18/2013,"65.17","65.26","64.42","64.67","5,862,179"
10/17/2013,"63.65","64.88","63.57","64.86","3,524,185"
10/16/2013,"63.10","63.90","63.08","63.90","3,194,517"
10/15/2013,"63.51","63.55","62.89","62.93","3,852,693"
10/14/2013,"62.80","63.72","62.80","63.65","3,101,680"
10/11/2013,"63.14","63.23","62.45","63.21","3,537,743"
10/10/2013,"63.16","63.58","63.01","63.45","2,638,280"
10/09/2013,"62.22","62.81","62.13","62.69","3,865,915"
10/08/2013,"62.72","62.84","62.03","62.13","4,430,299"
10/07/2013,"63.12","63.31","62.66","62.68","3,323,743"
10/04/2013,"63.44","63.45","63.09","63.41","2,791,409"
10/03/2013,"63.60","63.73","63.10","63.45","3,964,664"
10/02/2013,"63.72","63.72","63.20","63.65","3,587,613"
10/01/2013,"63.94","64.08","63.67","63.91","4,128,503"
09/30/2013,"63.52","63.99","63.38","63.98","4,577,696"
09/27/2013,"63.36","64.28","63.29","63.94","3,378,281"
09/26/2013,"63.42","63.91","63.15","63.37","4,038,038"
09/25/2013,"63.96","64.00","62.79","63.24","6,336,676"
09/24/2013,"64.09","64.25","63.79","63.91","4,167,061"
09/23/2013,"64.54","64.65","64.17","64.40","2,501,085"
09/20/2013,"65.34","65.49","64.55","64.55","4,672,549"
09/19/2013,"65.59","65.59","65.00","65.39","2,886,655"
09/18/2013,"64.23","65.53","64.21","65.48","4,368,912"
09/17/2013,"63.89","64.44","63.89","64.38","2,544,081"
09/16/2013,"64.28","64.45","63.71","63.79","3,245,751"
09/13/2013,"64.24","64.51","63.68","63.76","4,115,321"
09/12/2013,"65.13","65.24","63.66","64.09","5,596,845"
09/11/2013,"64.73","65.01","64.55","64.99","3,529,324"
09/10/2013,"64.45","64.89","64.20","64.73","4,457,092"
09/09/2013,"63.36","64.02","63.35","63.93","3,364,155"
09/06/2013,"63.57","63.77","63.09","63.29","3,306,427"
09/05/2013,"63.66","63.90","63.46","63.46","3,031,900"
09/04/2013,"63.59","63.80","63.44","63.55","4,148,924"
09/03/2013,"63.54","63.81","63.38","63.59","5,982,695"
08/30/2013,"63.25","63.39","63.14","63.31","4,136,956"
08/29/2013,"63.21","63.50","63.05","63.15","4,115,639"
08/28/2013,"63.28","63.58","63.15","63.27","4,159,495"
08/27/2013,"63.57","63.87","63.19","63.26","5,801,504"
08/26/2013,"64.53","64.90","64.10","64.13","4,519,515"
08/23/2013,"64.64","64.77","64.12","64.35","6,524,166"
08/22/2013,"64.94","65.39","64.07","64.24","10,177,770"
08/21/2013,"66.42","66.93","65.14","65.50","15,252,730"
08/20/2013,"68.24","68.62","67.95","67.95","6,449,837"
08/19/2013,"68.24","68.74","68.15","68.24","3,870,238"
08/16/2013,"68.82","69.05","68.52","68.58","4,369,822"
08/15/2013,"69.30","69.50","68.74","69.08","5,749,273"
08/14/2013,"70.69","70.83","69.95","70.04","5,220,501"
08/13/2013,"70.78","71.26","70.45","71.19","3,122,692"
08/12/2013,"70.48","70.94","70.32","70.76","2,260,714"
08/09/2013,"71.21","71.23","70.41","70.72","2,382,375"
08/08/2013,"71.69","71.69","70.80","71.22","3,714,944"
08/07/2013,"71.70","71.86","70.79","71.68","2,536,854"
08/06/2013,"71.87","71.93","70.81","71.79","3,265,719"
08/05/2013,"71.51","72.07","71.28","71.99","3,074,035"
08/02/2013,"71.52","71.58","71.35","71.50","5,554,350"
08/01/2013,"71.69","71.92","71.44","71.58","3,697,843"
07/31/2013,"71.60","71.90","71.05","71.25","4,108,159"
07/30/2013,"71.63","72.05","71.39","71.42","2,913,059"
07/29/2013,"71.56","71.66","70.93","71.51","2,489,110"
07/26/2013,"71.57","71.59","70.55","71.46","4,071,230"
07/25/2013,"73.07","73.16","71.18","71.82","5,589,543"
07/24/2013,"73.41","73.50","73.03","73.32","2,670,572"
07/23/2013,"73.00","73.37","72.81","73.25","2,717,523"
07/22/2013,"72.64","73.08","72.57","73.03","2,298,450"
07/19/2013,"72.55","72.83","72.38","72.55","4,087,153"
07/18/2013,"72.74","73.00","72.20","72.42","2,502,243"
07/17/2013,"72.13","72.66","72.00","72.61","2,336,631"
07/16/2013,"72.46","72.60","72.01","72.07","2,165,651"
07/15/2013,"72.48","72.65","72.14","72.35","2,147,270"
07/12/2013,"71.85","72.56","71.70","72.56","2,712,439"
07/11/2013,"72.44","72.94","72.10","72.57","3,239,138"
07/10/2013,"71.82","72.23","71.41","72.03","2,619,106"
07/09/2013,"71.22","71.97","71.22","71.77","3,929,312"
07/08/2013,"70.46","71.22","70.35","71.18","3,743,310"
07/05/2013,"69.86","70.46","69.64","70.25","2,282,418"
07/03/2013,"69.18","69.45","68.96","69.38","1,590,396"
07/02/2013,"69.38","70.36","69.29","69.56","3,162,911"
07/01/2013,"69.19","70.06","69.11","69.33","2,639,118"
06/28/2013,"68.64","69.20","68.53","68.86","7,720,739"
06/27/2013,"69.56","69.64","68.57","68.79","4,950,126"
06/26/2013,"69.50","69.52","68.83","69.12","3,712,787"
06/25/2013,"68.62","69.35","68.48","69.13","3,588,050"
06/24/2013,"68.19","68.74","67.84","68.29","4,001,076"
06/21/2013,"69.09","69.28","68.32","68.83","4,937,827"
06/20/2013,"68.41","69.09","68.37","68.66","5,634,743"
06/19/2013,"70.15","70.33","68.75","68.88","4,931,845"
06/18/2013,"69.85","70.22","69.60","70.16","2,357,143"
06/17/2013,"69.09","70.01","69.09","69.86","3,079,777"
06/14/2013,"69.38","69.63","68.95","69.03","3,953,436"
06/13/2013,"69.43","69.81","69.11","69.59","3,183,513"
06/12/2013,"70.35","70.65","69.12","69.43","4,104,359"
06/11/2013,"69.56","70.56","69.54","70.00","2,887,417"
06/10/2013,"70.33","70.75","69.71","69.88","4,239,204"
06/07/2013,"70.49","70.88","69.89","70.36","5,114,880"
06/06/2013,"70.26","70.27","69.56","70.26","5,560,555"
06/05/2013,"71.58","71.74","69.85","70.17","5,569,011"
06/04/2013,"71.87","72.77","71.37","71.51","8,030,874"
06/03/2013,"69.50","71.13","69.44","71.05","5,942,495"
05/31/2013,"69.72","70.58","69.46","69.50","5,653,695"
05/30/2013,"69.48","70.55","69.44","69.82","4,776,867"
05/29/2013,"69.38","69.89","69.19","69.42","4,838,827"
05/28/2013,"70.30","71.04","69.23","69.51","6,160,247"
05/24/2013,"68.47","69.73","68.27","69.72","5,412,491"
05/23/2013,"67.75","69.27","67.63","68.67","8,516,878"
05/22/2013,"69.51","69.70","67.58","68.40","16,202,410"
05/21/2013,"70.68","71.91","70.44","71.26","5,387,876"
05/20/2013,"70.91","71.10","70.32","70.65","2,444,904"
05/17/2013,"70.02","71.24","70.02","71.06","4,405,660"
05/16/2013,"69.83","70.35","69.66","70.00","4,066,702"
05/15/2013,"69.57","70.48","69.51","70.39","5,176,959"
05/14/2013,"69.47","69.80","69.14","69.44","3,773,657"
05/13/2013,"69.47","69.70","69.05","69.44","2,878,022"
05/10/2013,"68.93","69.74","68.90","69.74","3,995,461"
05/09/2013,"69.90","70.08","69.37","69.48","3,659,064"
05/08/2013,"70.45","70.45","69.57","69.80","3,741,056"
05/07/2013,"70.24","70.75","70.05","70.55","3,028,832"
05/06/2013,"70.36","70.36","69.74","70.03","3,069,316"
05/03/2013,"69.66","70.72","69.43","70.50","4,902,231"
05/02/2013,"69.54","69.75","68.75","69.19","9,432,263"
05/01/2013,"70.45","70.83","70.33","70.54","2,400,704"
04/30/2013,"70.54","70.64","70.13","70.56","2,877,553"
04/29/2013,"70.60","70.75","70.38","70.64","2,295,020"
04/26/2013,"70.54","70.98","70.46","70.52","2,514,083"
04/25/2013,"69.95","70.99","69.85","70.67","3,316,690"
04/24/2013,"69.90","70.50","69.32","69.71","3,834,048"
04/23/2013,"69.21","69.92","69.09","69.69","3,291,391"
04/22/2013,"68.93","69.19","68.36","69.10","2,793,375"
04/19/2013,"68.81","69.22","68.12","69.04","4,074,653"
04/18/2013,"68.73","68.85","67.81","68.29","3,982,370"
04/17/2013,"68.38","68.93","68.12","68.76","4,696,387"
04/16/2013,"67.65","68.68","67.40","68.38","7,289,190"
04/15/2013,"69.19","69.66","68.46","68.48","3,047,027"
04/12/2013,"69.04","69.71","69.04","69.49","2,286,690"
04/11/2013,"69.08","69.91","68.98","69.12","3,962,878"
04/10/2013,"69.01","69.24","68.68","68.86","3,128,071"
04/09/2013,"69.38","69.46","68.78","68.92","2,918,639"
04/08/2013,"68.90","69.49","68.80","69.26","2,874,227"
04/05/2013,"68.27","68.89","67.86","68.85","3,800,606"
04/04/2013,"68.19","68.83","68.19","68.79","3,540,401"
04/03/2013,"68.00","68.56","67.55","67.98","6,136,411"
04/02/2013,"68.96","69.11","68.31","68.83","2,884,490"
04/01/2013,"68.30","68.83","68.25","68.66","2,734,240"
03/28/2013,"69.19","69.43","68.31","68.45","3,982,095"
03/27/2013,"68.49","69.84","68.49","69.05","4,590,806"
03/26/2013,"68.42","68.77","67.95","68.61","3,327,357"
03/25/2013,"68.73","68.89","68.17","68.41","4,260,198"
03/22/2013,"68.24","68.76","68.04","68.42","3,167,079"
03/21/2013,"68.12","68.27","67.42","68.05","4,789,526"
03/20/2013,"66.97","68.87","66.90","68.52","7,925,488"
03/19/2013,"67.01","67.19","65.96","66.46","4,062,945"
03/18/2013,"66.52","67.06","66.30","66.76","3,573,482"
03/15/2013,"67.05","67.29","66.52","66.80","5,957,633"
03/14/2013,"67.50","67.50","66.87","67.34","3,300,356"
03/13/2013,"66.79","67.48","66.60","67.43","3,636,124"
03/12/2013,"67.18","67.56","66.97","67.11","4,140,805"
03/11/2013,"66.35","67.37","65.89","67.34","4,985,983"
03/08/2013,"66.11","66.47","65.71","66.35","3,827,846"
03/07/2013,"66.22","66.25","65.67","65.85","4,018,200"
03/06/2013,"66.72","66.90","66.04","66.12","4,301,848"
03/05/2013,"66.50","66.84","65.83","66.68","5,927,843"
03/04/2013,"64.88","66.92","64.65","66.44","12,363,850"
03/01/2013,"63.22","64.39","63.22","64.13","6,536,059"
02/28/2013,"63.23","64.09","62.46","62.96","8,469,226"
